Word,Code
-----,PUN
--------------------------------------------,-----
Half,DT0
the,AT0
dorms,NN2
do,VDB
n't,XX0
have,VHI
AC,NN1
",",PUN
so,AV0
invest,VVB
in,PRP
fans,NN2
.,SENT
-----,PUN
--------------------------------------------,-----
Parties,NN2
every,AT0
night,NN1
",",PUN
if,CJS
you,PNP
're,VBB
into,PRP
that,DT0
type,NN1
of,PRF
thing,NN1
.,SENT
-----,PUN
--------------------------------------------,-----
Classes,NN2
are,VBB
surprisingly,AV0
rigorous,AJ0
",",PUN
so,AV0
make,VVB
sure,AJ0
you,PNP
have,VHB
some,DT0
time,NN1
management,NN1
skills,NN2
.,SENT
-----,PUN
--------------------------------------------,-----
I,PNP
picked,VVD
West,NP0
Virginia,NP0
University,NN1
because,PRP
of,PRP
its,DPS
smaller,AJC
size,NN1
initially,AV0
.,SENT
-----,PUN
--------------------------------------------,-----
However,AV0
",",PUN
going,VVG
into,PRP
my,DPS
senior,AJ0
year,NN1
WVU,NN1
has,VHZ
encompassed,VVN
all,DT0
the,AT0
characteristics,NN2
of,PRF
a,AT0
big,AJ0
college,NN1
.,SENT
-----,PUN
--------------------------------------------,-----
WVU,NP0
has,VHZ
great,AJ0
professors,NN2
",",PUN
diversity,NN1
",",PUN
many,DT0
resources,NN2
to,TO0
help,VVI
its,DPS
students,NN2
",",PUN
and,CJC
that,DT0
friendly,AJ0
feel,VVB
to,PRP
it,PNP
.,SENT
-----,PUN
--------------------------------------------,-----
Located,VVN
in,PRP
Morgantown,NP0
",",PUN
WV,NP0
there,EX0
is,VBZ
plenty,PNI
of,PRF
things,NN2
to,TO0
do,VDI
in,PRP
your,DPS
free,AJ0
time,NN1
and,CJC
is,VBZ
still,AV0
only,AV0
about,AV0
an,AT0
hour,NN1
from,PRP
my,DPS
hometown,NN1
.,SENT
-----,PUN
--------------------------------------------,-----
To,PRP
me,PNP
",",PUN
its,DPS
the,AT0
perfect,AJ0
choice,NN1
!,SENT
-----,PUN
--------------------------------------------,-----
As,PRP
a,AT0
former,DT0
student-athlete,NN1
at,PRP
WVU,NP0
",",PUN
at,PRP
enjoyed,VVD
the,AT0
sports,NN2
scene,NN1
and,CJC
the,AT0
support,NN1
that,CJT
we,PNP
received,VVD
from,PRP
both,AV0
students,NN2
and,CJC
staff,NN0
.,SENT
-----,PUN
--------------------------------------------,-----
The,AT0
campus,NN1
itself,PNX
is,VBZ
convenient,AJ0
for,PRP
students,NN2
without,PRP
their,DPS
own,DT0
transportation,NN1
and,CJC
over,PRP
the,AT0
years,NN2
so,AV0
many,DT0
renovations,NN2
have,VHB
been,VBN
made,VVN
.,SENT
-----,PUN
--------------------------------------------,-----
I,PNP
have,VHB
seen,VVN
the,AT0
growth,NN1
all,DT0
around,PRP
campus,NN1
;,PUN
from,PRP
the,AT0
academic,AJ0
facilities,NN2
to,PRP
the,AT0
sports,NN2
facilities,NN2
all,DT0
things,NN2
are,VBB
at,PRP
the,AT0
top,NN1
of,PRF
their,DPS
class,NN1
.,SENT
-----,PUN
--------------------------------------------,-----
The,AT0
academic,AJ0
options,NN2
at,PRP
the,AT0
school,NN1
are,VBB
varying,VVG
and,CJC
allow,VVB
all,DT0
programs,NN2
to,TO0
be,VBI
catered,VVN
to,PRP
all,DT0
different,AJ0
types,NN2
of,PRF
students,NN2
.,SENT
-----,PUN
--------------------------------------------,-----
I,PNP
especially,AV0
appreciate,VVB
the,AT0
growth,NN1
of,PRF
the,AT0
programs,NN2
and,CJC
the,AT0
new,AJ0
subjects,NN2
that,CJT
have,VHB
been,VBN
added,VVN
.,SENT
-----,PUN
--------------------------------------------,-----
Specifically,AV0
",",PUN
WVU,NP0
is,VBZ
one,CRD
of,PRF
the,AT0
only,AJ0
schools,NN2
to,TO0
have,VHI
an,AT0
Undergraduate,NN1
Forensic,NN1
Science,NN1
program,NN1
and,CJC
a,AT0
Graduate,NN1
Forensic,NN1
Program,NN1
.,SENT
-----,PUN
--------------------------------------------,-----
They,PNP
most,AV0
recently,AV0
created,VVD
a,AT0
law,NN1
program,NN1
with,PRP
an,AT0
emphasis,NN1
in,PRP
Forensic,AJ0
law,NN1
",",PUN
which,DTQ
shows,VVZ
their,DPS
innovation,NN1
and,CJC
willingness,NN1
to,TO0
grow,VVI
the,AT0
field,NN1
.,SENT
-----,PUN
--------------------------------------------,-----
I,PNP
am,VBB
grateful,AJ0
to,PRP
my,DPS
time,NN1
spent,VVN
there,AV0
as,PRP
a,AT0
student-athlete,NN1
.,SENT
-----,PUN
--------------------------------------------,-----
Students,NN2
are,VBB
often,AV0
defined,VVN
by,PRP
there,AV0
place,NN1
of,PRF
education,NN1
.,SENT
-----,PUN
--------------------------------------------,-----
At,PRP
West,NP0
Virginia,NP0
University,NN1
",",PUN
students,NN2
are,VBB
defined,VVN
by,PRP
their,DPS
experiences,NN2
",",PUN
skills,NN2
and,CJC
mindset,NN1
.,SENT
-----,PUN
--------------------------------------------,-----
I,PNP
have,VHB
always,AV0
enjoyed,VVN
attending,VVG
West,NP0
Virginia,NP0
University,NN1
.,SENT
-----,PUN
--------------------------------------------,-----
A,AT0
change,NN1
in,PRP
scenery,NN1
from,PRP
the,AT0
Jersey,NP0
Shore,NP0
to,PRP
rocky,AJ0
mountains,NN2
